{@BATCH|Board1|Rev|2500|1||Grading|220517085159|Grader|Cisco-10|testplan_bdg|i3070 09.10p WN(full)
{@BTEST|Analog Incircuit Vacuum off|01|220517085159|000045|0|all||n|1|220517085244||1
{@BLOCK|r1_1v2s|01
{@A-RES|1|+5.504563E+07}
}
{@BLOCK|r1_sf0|01
{@A-RES|1|+1.368806E+08}
}
{@BLOCK|r1_sf1|01
{@A-RES|1|+1.368806E+08}
}
{@BLOCK|r875_5v|01
{@A-RES|1|+7.851641E+07}
}
{@BLOCK|r877_3v3|01
{@A-RES|1|+5.333103E+08}
}
{@BLOCK|c2868|01
{@A-CAP|1|+2.277915E-07}
}
{@BLOCK|c9_6|01
{@A-CAP|1|+2.662125E-13}
}
{@BLOCK|c8_6|01
{@A-CAP|1|+1.139638E-08}
}
{@BLOCK|c13_91_rtv1|01
{@A-CAP|1|+4.560302E-08}
}
{@BLOCK|c13_91_rtv2|01
{@A-CAP|1|+9.158057E-08}
}
{@BLOCK|c8_q0|01
{@A-CAP|1|+3.968806E-11}
}
{@BLOCK|c228_3v3|01
{@A-CAP|1|-1.000000E-99}
}
{@BLOCK|c13_98_rtv1|01
{@A-CAP|1|-4.559236E-08}
}
{@BLOCK|c13_98_rtv2|01
{@A-CAP|1|+7.596715E-08}
}
{@BLOCK|c13_98_5|01
{@A-CAP|1|+4.559449E-08}
}
{@BLOCK|c419_3|01
{@A-CAP|1|+2.851218E-09}
}
{@BLOCK|c19_1v2s|01
{@A-CAP|1|+4.558597E-08}
}
{@BLOCK|c23_a|01
{@A-CAP|1|+2.279436E-08}
}
{@BLOCK|c221_5v|01
{@A-CAP|1|+1.367132E-07}
}
{@BLOCK|c3_a|01
{@A-CAP|1|+1.139709E-08}
}
{@BLOCK|c186|01
{@A-CAP|1|+7.189159E-11}
}
{@BLOCK|c30|01
{@A-CAP|1|+5.698709E-09}
}
{@BLOCK|c1_q0|01
{@A-CAP|1|+2.847757E-09}
}
{@BLOCK|c1_q1|01
{@A-CAP|1|+5.699907E-09}
}
{@BLOCK|c1_q2|01
{@A-CAP|1|+5.699508E-09}
}
{@BLOCK|c2_q0|01
{@A-CAP|1|+5.696579E-09}
}
{@BLOCK|c2_q1|01
{@A-CAP|1|+5.700041E-09}
}
{@BLOCK|c2_q2|01
{@A-CAP|1|-2.662451E-13}
}
{@BLOCK|c19_sf1|01
{@A-CAP|1|+2.278660E-07}
}
{@BLOCK|c529|01
{@A-CAP|1|+5.701207E-09}
}
{@BLOCK|c19_sf0|01
{@A-CAP|1|+3.798911E-08}
}
{@BLOCK|c78|01
{@A-CAP|1|+1.139336E-08}
}
{@BLOCK|c90_rt1_2|01
{@A-CAP|1|+5.702803E-09}
}
{@BLOCK|c13_91_5|01
{@A-CAP|1|-1.000000E-99}
}
{@BLOCK|c03_5|01
{@A-CAP|1|+4.349891E-11}
}
{@BLOCK|c03_rtv1|01
{@A-CAP|1|+3.366878E-11}
}
{@BLOCK|c03_rtv2|01
{@A-CAP|1|+4.358674E-11}
}
{@BLOCK|c04_5|01
{@A-CAP|1|+4.354179E-11}
}
{@BLOCK|c04_rtv1|01
{@A-CAP|1|+3.370535E-11}
}
{@BLOCK|c04_rtv2|01
{@A-CAP|1|+4.534035E-11}
}
{@BLOCK|c10_rtv1|01
{@A-CAP|1|+3.807890E-11}
}
{@BLOCK|c10_rtv2|01
{@A-CAP|1|+2.877377E-11}
}
{@BLOCK|c72|01
{@A-CAP|1|+3.170136E-11}
}
{@BLOCK|c2_a|01
{@A-CAP|1|+4.852194E-11}
}
{@BLOCK|c3057|01
{@A-CAP|1|+3.793612E-11}
}
{@BLOCK|c2_6|01
{@A-CAP|1|+2.208030E-11}
}
{@BLOCK|c5_6|01
{@A-CAP|1|+2.064028E-11}
}
{@BLOCK|c5_a|01
{@A-CAP|1|+1.632022E-11}
}
{@BLOCK|c09_5|01
{@A-CAP|1|+9.581933E-11}
}
{@BLOCK|c09_rtv1|01
{@A-CAP|1|+4.790967E-11}
}
{@BLOCK|c09_rtv2|01
{@A-CAP|1|+4.790967E-11}
}
{@BLOCK|c11|01
{@A-CAP|1|+2.688036E-11}
}
{@BLOCK|c8_q1|01
{@A-CAP|1|+6.694372E-11}
}
{@BLOCK|c8_q2|01
{@A-CAP|1|+3.920990E-11}
}
{@BLOCK|c10_5|01
{@A-CAP|1|+3.022086E-11}
}
{@BLOCK|c21_pm|01
{@A-CAP|1|+4.497461E-11}
}
{@BLOCK|c24_pm|01
{@A-CAP|1|+4.773602E-11}
}
{@BLOCK|c75|01
{@A-CAP|1|+1.817044E-11}
}
{@BLOCK|c146|01
{@A-CAP|1|+4.160074E-11}
}
{@BLOCK|c175|01
{@A-CAP|1|+3.203735E-11}
}
{@BLOCK|c22_a|01
{@A-CAP|1|+3.651156E-11}
}
{@BLOCK|c171|01
{@A-CAP|1|+3.266823E-11}
}
{@BLOCK|c172|01
{@A-CAP|1|+3.074657E-11}
}
{@BLOCK|c173|01
{@A-CAP|1|+3.026616E-11}
}
{@BLOCK|c174|01
{@A-CAP|1|+3.074657E-11}
}
{@BLOCK|c177|01
{@A-CAP|1|+2.305993E-11}
}
{@BLOCK|c178|01
{@A-CAP|1|+2.209910E-11}
}
{@BLOCK|c179|01
{@A-CAP|1|+2.209910E-11}
}
{@BLOCK|c165|01
{@A-CAP|1|+7.104096E-11}
}
{@BLOCK|c3060|01
{@A-CAP|1|+2.496034E-11}
}
{@BLOCK|c33|01
{@A-CAP|1|+4.790967E-11}
}
{@BLOCK|c578|01
{@A-CAP|1|+4.658273E-11}
}
{@BLOCK|c6_1v2s|01
{@A-CAP|1|+0.000000E+00}
}
{@BLOCK|c6_sf0|01
{@A-CAP|1|-4.709809E-10}
}
{@BLOCK|c6_sf1|01
{@A-CAP|1|+4.709809E-10}
}
